****** PREMISSAS **********;;;;;;;;;;;;;;;;;;;
cod_premissa;descr;obs;segm_tipo_clb  ;classe;subClasse;formato;decimais;seqApresent;flag_desp_recorr_func ;descr_desp_recorr;obs_desp_recorr ;ano_versao_ini;ano_versao_fim;entidade_segm  ;;;;;
inss;INSS Empregador;%;s;5200205001;0;n;3;2;n;null;null;2012VP0;2014VP0;a;;;;;
fgts;FGTS Empregador;%;s;5200205001;0;n;3;3;n;null;null;2012VP0;9999VP3;a;;;;;
ass_med;Assistencia Médica;R$/func.;s;5200208001;0;n;2;4;n;null;null;2012VP0;9999VP3;a;;;;;
vr;Refeições e Cestas Básicas;R$/func.;s;5200208004;0;n;2;5;n;null;null;2012VP0;9999VP3;a;;;;;
vt_custo_func;Vale Transporte - Custo Funcionário;%;s;5200208009;0;n;3;6;n;null;null;2012VP0;9999VP3;a;;;;;
prov_ferias;Provisão de Férias;%;s;5200203001;0;n;3;7;n;null;null;2012VP0;9999VP3;a;;;;;
enc_prov_ferias;Encargos s/ Prov. Férias;%;s;5200203002;0;n;3;8;n;null;null;2012VP0;2014VP0;a;;;;;
prov_13;Provisão para 13. Salário;%;s;5200204001;0;n;3;9;n;null;null;2012VP0;9999VP3;a;;;;;
enc_prov_13;Encargos s/ Prov. 13. Salário;%;s;5200204002;0;n;3;10;n;null;null;2012VP0;2014VP0;a;;;;;
dissidio;Dissidio Salarial;%;n;5200201001;0;n;3;1;n;null;null;2012VP0;9999VP3;a;;;;;
mes_merito;Aplicação de Méritos;mês;n;5200201001;0;b;0;2;n;null;null;2012VP0;9999VP3;a;;;;;
seg_vida;Seguro de Vida;%;n;5200208003;0;n;3;3;n;null;null;2012VP0;9999VP3;a;;;;;
ti_micro;TI - Micro (Office, Antivirus,etc);R$/func.;n;5200504020;1;n;2;4;s;Micro ;Office, Antivirus, etc;2012VP0;2017VP0;a;;;;;
ti_sap;TI - SAP;R$/func.;n;5200504020;2;n;2;5;s;SAP;null;2012VP0;2017VP0;a;;;;;
ti_xrt;TI - XRT;R$/func.;n;5200504020;3;n;2;6;s;XRT;null;2012VP0;2015VP0;a;;;;;
ti_pwsati;TI - PWSati;R$/func.;n;5200504020;4;n;2;7;s;PWSati;null;2012VP0;2017VP0;a;;;;;
ti_bi;TI - BI;R$/func.;n;5200504020;5;n;2;8;s;BI;null;2012VP0;2017VP0;a;;;;;
ti_viabil;TI - Viabil;R$/func.;n;5200504020;6;n;2;9;s;Viabil;null;2012VP0;2017VP0;a;;;;;
ti_comunicator;TI - Lync;R$/func.;n;5200504020;7;n;2;10;s;Lync;null;2012VP0;2017VP0;a;;;;;
ti_visio;TI - Visio;R$/func.;n;5200504020;8;n;2;11;s;Visio;null;2012VP0;2017VP0;a;;;;;
ti_project;TI - Project;R$/func.;n;5200504020;9;n;2;12;s;Project;null;2012VP0;2017VP0;a;;;;;
cel_coord;Cel - Coordenador;R$/func.;n;5200502003;1;n;2;41;s;Cel. Coord.;null;2013VP0;9999VP3;a;;;;;
cel_ger;Cel - Gerente;R$/func.;n;5200502003;2;n;2;42;s;Cel. Ger.;null;2013VP0;9999VP3;a;;;;;
cel_dir;Cel - Diretor;R$/func.;n;5200502003;3;n;2;43;s;Cel. Dir.;null;2013VP0;9999VP3;a;;;;;
cel_nextel;Cel - Nextel;R$/func.;n;5200502003;4;n;2;44;s;Cel. Nextel;null;2013VP0;9999VP3;a;;;;;
cel_modem3g;Cel - Modem 3G;R$/func.;n;5200502003;5;n;2;45;s;Cel. Modem3G;null;2013VP0;9999VP3;a;;;;;
tel_ramal;Tel - Ramal;R$/func.;n;5200502003;6;n;2;46;s;Tel. Ramal;null;2013VP0;2018VP0;a;;;;;
almoco;Almo?o;R$/almo?o;n;5200503004;1;n;2;3;n;null;null;2014VP0;9999VP3;a;;;;;
cel_analista;Cel - Analista;R$/func.;n;5200502003;7;n;2;47;s;Cel. Analista;null;2013VP0;9999VP3;a;;;;;
ti_citrix;TI - Citrix;R$/func.;n;5200504020;10;n;2;13;s;Citrix;null;2015VP0;2017VP0;a;;;;;
ti_crm;TI - CRM;R$/func.;n;5200504020;11;n;2;14;s;CRM;null;2015VP0;2017VP0;a;;;;;
ti_ggle_epro;TI - Google Earth Pro;R$/func.;n;5200504020;12;n;2;15;s;Google Earth Pro;null;2015VP0;2014VP0;a;;;;;
ti_th_cell;TI - Think cell;R$/func.;n;5200504020;13;n;2;16;s;Think cell;null;2015VP0;2017VP0;a;;;;;
ti_att_compl;TI - At Task (compl);R$/func.;n;5200504020;14;n;2;17;s;At Task (compl);null;2015VP0;2017VP0;a;;;;;
ti_att_eqp;TI - At Task (equipe);R$/func.;n;5200504020;15;n;2;18;s;At Task (equipe);null;2015VP0;2017VP0;a;;;;;
ti_att_uex;TI - At Task (u.ext);R$/func.;n;5200504020;16;n;2;19;s;At Task (u.ext);null;2015VP0;2017VP0;a;;;;;
inss_empr;INSS Empregador;%;s;5200205001;0;n;3;2;n;null;null;2015VP0;9999VP3;e;;;;;
enc_prov_ferias_empr;Encargos s/ Prov. F¿rias;%;s;5200203002;0;n;3;3;n;null;null;2015VP0;9999VP3;e;;;;;
enc_prov_13_empr;Encargos s/ Prov. 13. Sal rio;%;s;5200204002;0;n;3;4;n;null;null;2015VP0;9999VP3;e;;;;;
ti_crm_corret;TI - CRM - Corretor;R$/func.;n;5200504020;17;n;2;20;s;CRM Corretor;null;2016VP0;2017VP0;a;;;;;
