ano;centroCusto;classeCusto;idDetalhe;descr;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2018;C0042BLAES;5200501001;;;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200
2018;C0042BLAES;5200501003;;;0;0;14600;0;0;0;0;0;0;0;0;0
2018;C0042BLAES;5200502001;;;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800
2018;C0042BLAES;5200502003;30;TELEFONIA FIXA\nLINK INTERNET\nVOIP\nVOITE;13900;13900;13900;13900;13900;13900;13900;13900;13900;13900;13900;13900
2018;C0042BLAES;5200502004;;;350;350;350;350;350;350;350;350;350;350;350;350
2018;C0042BLAES;5200502007;;;0;6000;0;0;0;6000;0;0;0;6000;0;0
2018;C0042BLAES;5200503002;30;Resma de Papel\nCaneta\nliga\nclipes\ngrampeador\nenvelopes;0;1200;0;0;0;1200;0;0;0;1200;0;0
2018;C0042BLAES;5200503004;30;Insumos para máquina de café\ngarrafões de água\naçúcar\ncopo descartáveis\ncafé\nchá\nleite\npalhetas de café;500;6250;500;500;500;500;6250;500;500;6250;500;500
2018;C0042BLAES;5200503005;30;Atividades Externas;650;650;650;650;650;650;650;650;650;650;650;650
2018;C0042BLAES;5200504002;30;Serviço de suporte de TI remoto\nMotoboy;5000;5200;5200;5200;5200;5200;5200;5200;5200;5200;5200;5200
2018;C0042BLAES;5200504008;;;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
2018;C0042BLAES;5200504010;;;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100
2018;C0042BLCOB;5200202002;;;1000;1000;1000;1000;0;0;0;0;0;0;0;0
2018;C0042BLJUT;5200502003;30;Ramais dos prepostos de Belém (Karine e Fernanda);80;80;80;80;80;80;80;80;80;80;80;80
2018;C0042BLREP;5200202002;;;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000
